Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%)
SCP,,23.38571953,,
SCP,,23.73858675,,
SCP,,23.96500275,,
SCP,,24.33410357,,
SCP,,24.51181878,,
SCP,,24.88775479,,
SCP,,25.0723052,,
SCP,,25.48714927,,
SCP,,25.65671482,,
SCP,,25.99190252,,
SCP,,26.20922684,,
SCP,,26.57946685,,
SCP,,26.78452286,,
SCP,,27.13238573,,
SCP,,27.32279488,,
SCP,,27.7841709,,
SCP,,28.00916291,,
SCP,,28.19428292,,
SCP,,28.65199722,,
SCP,,28.57021893,,
SCP,,28.86356294,,
SCP,,29.20247495,,
SMA,,,,
SMA,,,350,
SMA,,5,,
DEA,,40,,
DEA,,63,7,
SMA,,0.05405292574,,
SMA,,0.1446593854,,
SMA,,0.3045218942,,
SMA,,0.2600108826,,
SMA,,0.3753623798,,
SMA,,0.4791729073,,
SMA,,0.5570147981,,
SMA,,0.5829811069,,
SMA,,0.7557313229,,
SMA,,0.809507702,,
SMA,,0.9970880084,,
SMA,,1.062000606,,
SMA,,1.249803129,,
SMA,,1.31449351,,
SMA,,1.502475922,,
SMA,,1.566986414,,
SMA,,1.755127552,,
SMA,,1.819479317,,
SMA,,2.007762251,,
SMA,,2.071980687,,
SMA,,2.260386368,,
SMA,,2.324465125,,
SMA,,2.51300202,,
SMA,,2.576958029,,
SMA,,2.765617672,,
SMA,,2.829450933,,
SMA,,3.018216394,,
SMA,,3.081943837,,
SMA,,3.270821464,,
SMA,,3.334436741,,
SMA,,3.523420185,,
SMA,,3.586929644,,
SMA,,3.776018906,,
SMA,,3.839422548,,
SMA,,4.028615511,,
SMA,,4.091923918,,
SMA,,4.281205767,,
SMA,,4.344408356,,
SMA,,4.533800256,,
SMA,,4.59690126,,
SMA,,4.786394744,,
SMA,,4.849394164,,
SMA,,5.038987116,,
SMA,,5.101887068,,
SMA,,5.291575256,,
SMA,,5.354379972,,
SMA,,5.544171861,,
SMA,,5.606872875,,
SMA,,5.796766349,,
SMA,,5.859365779,,
SMA,,6.049358721,,
SMA,,6.111862916,,
SMA,,6.301957443,,
SMA,,6.364351587,,
SMA,,6.55455828,,
SMA,,6.616844491,,
SMA,,6.80716335,,
SMA,,6.869337395,,
SMA,,7.059759955,,
SMA,,7.121830299,,
SMA,,7.312375607,,
SMA,,7.374323202,,
SMA,,7.564991259,,
SMA,,7.512046605,,
SMA,,7.817617493,,
SMA,,8.070252192,,
SMA,,8.322903822,,
SMA,,8.575574499,,
SMA,,8.828289619,,
SMA,,9.035128684,,
SMA,,7.565028665,,
SMA,,7.673273273,,
SMA,,7.808435708,,
SMA,,7.876112476,,
SMA,,8.024870325,,
SMA,,8.16022386,,
SMA,,8.281900082,,
SMA,,8.417280917,,
SMA,,8.39011739,,
SMA,,8.552443352,,
SMA,,8.660660661,,
SMA,,8.768959869,,
SMA,,8.917635818,,
SMA,,9.025962326,,
SMA,,9.174692875,,
SMA,,9.296369096,,
SMA,,9.418263718,,
SMA,,9.593966694,,
SMA,,9.756292656,,
SMA,,9.864646465,,
SMA,,10.02683593,,
SMA,,10.16216216,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
